,manifolds,count<51,time
0,K14n11913,"[0, 2, 0, 1, 0, 2, 0, 2, 0, 4, 0, 2, 0, 6, 0, 4, 0, 6, 0, 4, 0, 10, 0, 4, 0, 12, 0, 6, 0, 8, 0, 8, 0, 16, 0, 6, 0, 18, 0, 8, 0, 12, 0, 10, 0, 22, 0, 8, 0]",10.188868482131511
1,s783,"[3, 2, 4, 4, 8, 4, 12, 8, 12, 8, 20, 8, 24, 12, 16, 16, 32, 12, 36, 16, 24, 20, 44, 16, 40, 24, 36, 24, 56, 16, 60, 32, 40, 32, 48, 24, 72, 36, 48, 32, 80, 24, 84, 40, 48, 44, 92, 32, 84]",16.093381850980222
2,o9_44127,"[3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",20.580455082003027
3,K14n13645,"[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",21.391247841063887
4,o9_44075,"[4, 1, 2, 2, 4, 2, 6, 4, 6, 4, 10, 4, 12, 6, 8, 8, 16, 6, 18, 8, 12, 10, 22, 8, 20, 12, 18, 12, 28, 8, 30, 16, 20, 16, 24, 12, 36, 18, 24, 16, 40, 12, 42, 20, 24, 22, 46, 16, 42]",25.608225339092314
5,K14n22073,"[2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",26.28972643101588
6,v3394,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",19.286373345181346
7,K14n26117,"[1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",32.657415475696325
8,o9_44036,"[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",33.7688991590403
9,K15n52547,"[0, 0, 2, 0, 0, 1, 0, 0, 2, 0, 0, 2, 0, 0, 4, 0, 0, 2, 0, 0, 6, 0, 0, 4, 0, 0, 6, 0, 0, 4, 0, 0, 10, 0, 0, 4, 0, 0, 12, 0, 0, 6, 0, 0, 8, 0, 0, 8, 0]",30.943962753750384
10,K15n135896,"[2, 2, 0, 1, 0, 2, 0, 2, 0, 4, 0, 2, 0, 6, 0, 4, 0, 6, 0, 4, 0, 10, 0, 4, 0, 12, 0, 6, 0, 8, 0, 8, 0, 16, 0, 6, 0, 18, 0, 8, 0, 12, 0, 10, 0, 22, 0, 8, 0]",36.996764667797834
11,o9_44076,"[6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",38.61528080608696
12,v2946,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",22.055754143744707
13,t12217,"[0, 4, 0, 2, 0, 4, 0, 4, 0, 8, 0, 4, 0, 12, 0, 8, 0, 12, 0, 8, 0, 20, 0, 8, 0, 24, 0, 12, 0, 16, 0, 16, 0, 32, 0, 12, 0, 36, 0, 16, 0, 24, 0, 20, 0, 44, 0, 16, 0]",11.556330802850425
14,K15n130599,"[0, 0, 4, 0, 0, 3, 0, 0, 6, 0, 0, 6, 0, 0, 12, 0, 0, 6, 0, 0, 18, 0, 0, 12, 0, 0, 18, 0, 0, 12, 0, 0, 30, 0, 0, 12, 0, 0, 36, 0, 0, 18, 0, 0, 24, 0, 0, 24, 0]",45.032484168652445
